id ,manual_topic ,manual_topic_2,manual_topic_3,year
232b,Foreign/War,,,1939
233,Foreign/War,,,1939
234,Foreign/War,,,1939
235,Youth,,,1939
236,Foreign/War,,,1939
237,Foreign/War,,Foreign,1939
238,Labour,,,1939
239,Foreign/War,,,1939
240,Labour,,,1939
241,Labour,,,1939
242,Labour,,,1939
243,Foreign/War,,,1939
244,Foreign/War,,,1939
245,Youth,Labour,,1940
246,Labour,,,1940
247,Foreign/War,,,1940
248,Labour,Other,,1940
249,Labour,Other,,1940
250,Labour,,,1940
251,Foreign/War,,,1940
